scope,grid_x,grid_y,placed_primitives,representative_tile
"accelerator",51,145,16,"CLBLL_R_X19Y60"
"accelerator",51,146,13,"CLBLL_R_X19Y59"
"accelerator",51,147,17,"CLBLL_R_X19Y58"
"accelerator",51,148,18,"CLBLL_R_X19Y57"
"accelerator",51,149,22,"CLBLL_R_X19Y56"
"accelerator",51,150,5,"CLBLL_R_X19Y55"
"accelerator",51,151,14,"CLBLL_R_X19Y54"
"accelerator",51,152,14,"CLBLL_R_X19Y53"
"accelerator",51,153,14,"CLBLL_R_X19Y52"
"accelerator",51,154,14,"CLBLL_R_X19Y51"
"accelerator",51,155,14,"CLBLL_R_X19Y50"
"accelerator",51,157,16,"CLBLL_R_X19Y49"
"accelerator",51,158,18,"CLBLL_R_X19Y48"
"accelerator",51,159,9,"CLBLL_R_X19Y47"
"accelerator",51,161,5,"CLBLL_R_X19Y45"
"accelerator",51,162,5,"CLBLL_R_X19Y44"
"accelerator",51,163,12,"CLBLL_R_X19Y43"
"accelerator",51,164,9,"CLBLL_R_X19Y42"
"accelerator",51,165,9,"CLBLL_R_X19Y41"
"accelerator",51,166,10,"CLBLL_R_X19Y40"
"accelerator",51,167,8,"CLBLL_R_X19Y39"
"accelerator",51,168,9,"CLBLL_R_X19Y38"
"accelerator",51,169,9,"CLBLL_R_X19Y37"
"accelerator",51,88,9,"CLBLL_R_X19Y115"
"accelerator",51,89,9,"CLBLL_R_X19Y114"
"accelerator",51,90,13,"CLBLL_R_X19Y113"
"accelerator",51,91,15,"CLBLL_R_X19Y112"
"accelerator",51,92,18,"CLBLL_R_X19Y111"
"accelerator",51,93,18,"CLBLL_R_X19Y110"
"accelerator",51,94,13,"CLBLL_R_X19Y109"
"accelerator",51,98,12,"CLBLL_R_X19Y105"
"accelerator",51,99,13,"CLBLL_R_X19Y104"
"accelerator",52,100,14,"CLBLM_L_X20Y103"
"accelerator",52,101,16,"CLBLM_L_X20Y102"
